date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:19	829033/829033	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:18%20GMT	https://www.classcentral.com/subject/personal-development	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/personal-development.html	(from https://www.classcentral.com/)
18:05:21	3029348/3029348	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:20%20GMT	https://www.classcentral.com/universities	C:/My%20Web%20Sites/class_central/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
18:05:22	170640/170640	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2010:21:14%20GMT	https://www.classcentral.com/report/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
18:05:22	838914/838914	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:21%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/My%20Web%20Sites/class_central/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
18:05:23	4282/4282	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2009:46:28%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/My%20Web%20Sites/class_central/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
18:05:23	33057/33057	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2006:02:24%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/My%20Web%20Sites/class_central/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
18:05:24	4168/4168	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2010:08:13%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/My%20Web%20Sites/class_central/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
18:05:24	35437/35437	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Mar%202023%2013:28:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/My%20Web%20Sites/class_central/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
18:05:25	198504/198504	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:06:29%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
18:05:25	145276/145276	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:08:44%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
18:05:25	153472/153472	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:06:52%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
18:05:26	176730/176730	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:06:17%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
18:05:27	822020/822020	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:24%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/My%20Web%20Sites/class_central/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
18:05:27	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/class_central/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
18:05:27	178587/178587	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:02%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/My%20Web%20Sites/class_central/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
